,"Ford, Kevin B.","Tyson, Jeremy T.","Hirani, Anil N.","Katz, Sheldon H.","Albin, Pierre","Dunfield, Nathan M.","Kostochka, Alexandr V.","Kedem, Rinat","Song, Renming","Dodd, Christopher","Duursma, Iwan Maynard","McCarthy, Randy","Rezk, Charles W.","Fernandes, Rui Loja","Mineyev, Igor","Dutta, Sankar Prasad","Yong, Alexander T. F.","Tolman, Susan","Erdoğan, Mehmet Burak","Junge, Marius","Hur, Vera Mikyoung","Stojanoska, Vesna","Ahlgren, Scott D.","Bradlow, Steven Benjamin","Rapti, Zoi","Sowers, Richard B.","Balogh, József","Kutzarova, Denka N.","Zaharescu, Alexandru","La Nave, Gabriele","Berwick-Evans, Daniel","DeVille, R. E. Lee","Boca, Florin-Petre","Thorner, Jesse","Zharnitsky, Vadim","Lerman, Eugene M.","Reznick, Bruce","Dey, Partha Sarathi","Hinkkanen, Aimo","Nikolaev, Igor G.","Pascaleff, James Thomas","Bronski, Jared C.","Feng, Runhuan","Haboush, William J.","Baryshnikov, Yuliy M.","Kirr, Eduard","Oikhberg, Timur","Leditzky, Felix","Kirkpatrick, Kay Lene","Tzirakis, Nikolaos","Kerman, Ely","Di Francesco, Philippe","Laugesen, Richard Snyder","Heller, Jeremiah Ben","Guzman, Rosemary K.","Jing, Xiaochen","Liu, Yuan","Quan, Zhiyu","Fadina, Tolulope","Rasmussen, Jacob","Rasmussen, Sarah Dean","Janda, Felix","Cooney, Daniel B","Hung, Pei-Ken","Young, Amanda","Wu, Xuan"
"Pascaleff, James Thomas",0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,5.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,170.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0
"Bronski, Jared C.",0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,26.0,2.0,90.0,0.0,0.0,0.0,86.0,1.0,4.0,0.0,6.0,0.0,0.0,132.0,1.0,1.0,10.0,3.0,1.0,2.0,1.0,0.0,1.0,632.0,0.0,0.0,2.0,16.0,1.0,1.0,2.0,8.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
"Feng, Runhuan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haboush, William J.",0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Baryshnikov, Yuliy M.",0.0,12.0,3.0,3.0,10.0,2.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,10.0,4.0,5.0,6.0,3.0,1.0,0.0,3.0,2.0,10.0,5.0,0.0,5.0,1.0,1.0,9.0,2.0,0.0,39.0,7.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,607.0,1.0,0.0,1.0,2.0,1.0,6.0,12.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0
"Kirr, Eduard",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,9.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,162.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oikhberg, Timur",2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,172.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,82.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,841.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"Leditzky, Felix",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,369.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Kirkpatrick, Kay Lene",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,6.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,3.0,0.0,298.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Tzirakis, Nikolaos",2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,6.0,1.0,0.0,30.0,353.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Kerman, Ely",1.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"Di Francesco, Philippe",0.0,0.0,0.0,2.0,0.0,1.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
"Laugesen, Richard Snyder",0.0,15.0,1.0,0.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,11.0,10.0,0.0,0.0,0.0,4.0,11.0,2.0,2.0,10.0,1.0,0.0,7.0,4.0,0.0,2.0,3.0,2.0,0.0,10.0,1.0,0.0,7.0,0.0,0.0,12.0,2.0,6.0,1.0,4.0,5.0,1.0,0.0,808.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0
"Heller, Jeremiah Ben",0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,12.0,20.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
"Guzman, Rosemary K.",0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Jing, Xiaochen",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Liu, Yuan",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Quan, Zhiyu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fadina, Tolulope",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rasmussen, Jacob",0.0,0.0,0.0,10.0,2.0,69.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,397.0,53.0,1.0,0.0,0.0,0.0,0.0
"Rasmussen, Sarah Dean",0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,82.0,0.0,0.0,0.0,0.0,0.0
"Janda, Felix",0.0,0.0,1.0,24.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,300.0,0.0,0.0,0.0,0.0
"Cooney, Daniel B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0
"Hung, Pei-Ken",0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0
"Young, Amanda",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0
"Wu, Xuan",3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
